Generator,Scenario,Category
1_MillerCoors_Trenton_Brewery,nonfocus_PJM,Boiler (Coal)
1_Mitchell__WV_,nonfocus_PJM,Boiler (Coal)
1_Monroe__MI_,nonfocus_MISO,Boiler (Coal)
1_Morgantown_Energy_Facility,nonfocus_PJM,Boiler (Coal)
1_Nebraska_City,nonfocus_SPP,Boiler (Coal)
1_Newton,nonfocus_MISO,Boiler (Coal)
1_Northampton_Generating_Company_LP,nonfocus_PJM,Boiler (Coal)
1_Ottumwa,nonfocus_MISO,Boiler (Coal)
1_P_H_Glatfelter,nonfocus_PJM,Boiler (Coal)
1_Panther_Creek_Energy_Facility,nonfocus_PJM,Boiler (Coal)
1_Paradise,nonfocus_TVA,Boiler (Coal)
1_Pirkey,nonfocus_SPP,Boiler (Coal)
1_Platte,nonfocus_SPP,Boiler (Coal)
1_Pleasant_Prairie,nonfocus_MISO,Boiler (Coal)
1_Plum_Point_Energy_Station,nonfocus_MISO,Boiler (Coal)
1_Poplar_River,nonfocus_MRO,Boiler (Coal)
1_Prairie_State_Generating_Station,nonfocus_MISO,Boiler (Coal)
1_Pt__Aconi,nonfocus_NBSO,Boiler (Coal)
1_R_D_Green,nonfocus_MISO,Boiler (Coal)
1_R_D_Morrow,nonfocus_MISO,Boiler (Coal)
1_R_M_Heskett,nonfocus_MISO,Boiler (Coal)
1_Red_Hills_Generating_Facility,nonfocus_TVA,Boiler (Coal)
1_Rush_Island,nonfocus_MISO,Boiler (Coal)
1_Scherer,nonfocus_SERC,Boiler (Coal)
1_Scrubgrass_Generating_Company_LP,nonfocus_PJM,Boiler (Coal)
1_Seward,nonfocus_PJM,Boiler (Coal)
1_Shand,nonfocus_MRO,Boiler (Coal)
1_Sheldon,nonfocus_SPP,Boiler (Coal)
1_Sherburne_County,nonfocus_MISO,Boiler (Coal)
1_Shiras,nonfocus_MISO,Boiler (Coal)
1_Sikeston_Power_Station,nonfocus_SPP,Boiler (Coal)
1_Somerset_Operating_Co_LLC,nonfocus_NYISO,Boiler (Coal)
1_Spiritwood_Station,nonfocus_MISO,Boiler (Coal)
1_St_Nicholas_Cogen_Project,nonfocus_PJM,Boiler (Coal)
1_TES_Filer_City_Station,nonfocus_MISO,Boiler (Coal)
1_Trimble_County,nonfocus_TVA,Boiler (Coal)
1_Victor_J_Daniel_Jr,nonfocus_SERC,Boiler (Coal)
1_Virginia_City_Hybrid_Energy_Center,nonfocus_PJM,Boiler (Coal)
1_Wansley,nonfocus_SERC,Boiler (Coal)
1_Warrick,nonfocus_MISO,Boiler (Coal)
1_Wateree,nonfocus_SERC,Boiler (Coal)
1_Westwood_Generation_LLC,nonfocus_PJM,Boiler (Coal)
1_Wheelabrator_Frackville_Energy,nonfocus_PJM,Boiler (Coal)
1_Whelan_Energy_Center,nonfocus_SPP,Boiler (Coal)
10_Gorgas,nonfocus_SERC,Boiler (Coal)
11_Greenfield_Activated_Carbon,nonfocus_MISO,Boiler (Coal)
12_Greenfield_Activated_Carbon,nonfocus_MISO,Boiler (Coal)
12_Michigan_City,nonfocus_MISO,Boiler (Coal)
17_R_M_Schahfer,nonfocus_MISO,Boiler (Coal)
18_R_M_Schahfer,nonfocus_MISO,Boiler (Coal)
1H_Brunner_Island,nonfocus_PJM,Boiler (Coal)
1H_General_James_M_Gavin,nonfocus_PJM,Boiler (Coal)
1H_Mountaineer,nonfocus_PJM,Boiler (Coal)
1H_Rockport,nonfocus_PJM,Boiler (Coal)
1L_Brunner_Island,nonfocus_PJM,Boiler (Coal)
1R_General_James_M_Gavin,nonfocus_PJM,Boiler (Coal)
1R_Mountaineer,nonfocus_PJM,Boiler (Coal)
1R_Rockport,nonfocus_PJM,Boiler (Coal)
2_1_AES_Shady_Point_LLC,nonfocus_SPP,Boiler (Coal)
2_1_Big_Bend,nonfocus_FRCC,Boiler (Coal)
2_1_Big_Cajun_2,nonfocus_MISO,Boiler (Coal)
2_1_Brame_Energy_Center,nonfocus_MISO,Boiler (Coal)
2_1_Brandon_Shores,nonfocus_PJM,Boiler (Coal)
2_1_Bull_Run,nonfocus_TVA,Boiler (Coal)
2_1_C_P_Crane,nonfocus_PJM,Boiler (Coal)
2_1_Colbert,nonfocus_TVA,Boiler (Coal)
2_1_Coleson_Cove__NBPO_,nonfocus_NBSO,Boiler (Coal)
2_1_Cooper,nonfocus_PJM,Boiler (Coal)
2_1_Cross,nonfocus_SERC,Boiler (Coal)
2_1_Crystal_River,nonfocus_FRCC,Boiler (Coal)
