Generator,Category
1_Sherburne_County,Boiler (Coal)
1_Shiras,Boiler (Coal)
1_Sikeston_Power_Station,Boiler (Coal)
1_Somerset_Operating_Co_LLC,Boiler (Coal)
1_Spiritwood_Station,Boiler (Coal)
1_St_Nicholas_Cogen_Project,Boiler (Coal)
1_TES_Filer_City_Station,Boiler (Coal)
1_Trimble_County,Boiler (Coal)
1_Victor_J_Daniel_Jr,Boiler (Coal)
1_Virginia_City_Hybrid_Energy_Center,Boiler (Coal)
1_Wansley,Boiler (Coal)
1_Warrick,Boiler (Coal)
1_Wateree,Boiler (Coal)
1_Westwood_Generation_LLC,Boiler (Coal)
1_Wheelabrator_Frackville_Energy,Boiler (Coal)
1_Whelan_Energy_Center,Boiler (Coal)
10_Gorgas,Boiler (Coal)
11_Greenfield_Activated_Carbon,Boiler (Coal)
12_Greenfield_Activated_Carbon,Boiler (Coal)
12_Michigan_City,Boiler (Coal)
17_R_M_Schahfer,Boiler (Coal)
18_R_M_Schahfer,Boiler (Coal)
1H_Brunner_Island,Boiler (Coal)
1H_General_James_M_Gavin,Boiler (Coal)
1H_Mountaineer,Boiler (Coal)
1H_Rockport,Boiler (Coal)
1L_Brunner_Island,Boiler (Coal)
1R_General_James_M_Gavin,Boiler (Coal)
1R_Mountaineer,Boiler (Coal)
1R_Rockport,Boiler (Coal)
2_1_AES_Shady_Point_LLC,Boiler (Coal)
2_1_Big_Bend,Boiler (Coal)
2_1_Big_Cajun_2,Boiler (Coal)
2_1_Brame_Energy_Center,Boiler (Coal)
2_1_Brandon_Shores,Boiler (Coal)
2_1_Bull_Run,Boiler (Coal)
2_1_C_P_Crane,Boiler (Coal)
2_1_Colbert,Boiler (Coal)
2_1_Coleson_Cove__NBPO_,Boiler (Coal)
2_1_Cooper,Boiler (Coal)
2_1_Cross,Boiler (Coal)
2_1_Crystal_River,Boiler (Coal)
2_1_Cumberland__TN_,Boiler (Coal)
2_1_Dalhousie,Boiler (Coal)
2_1_Dunkirk_Generating_Plant,Boiler (Coal)
2_1_E_D_Edwards,Boiler (Coal)
2_1_Gallatin__TN_,Boiler (Coal)
2_1_H_L_Spurlock,Boiler (Coal)
2_1_Harrington,Boiler (Coal)
2_1_Independence_Steam_Electric_Station,Boiler (Coal)
2_1_Jeffrey_Energy_Center,Boiler (Coal)
2_1_Kingston,Boiler (Coal)
2_1_Lawrence_Energy_Center,Boiler (Coal)
2_1_Milton_R_Young,Boiler (Coal)
2_1_Morgantown_Generating_Plant,Boiler (Coal)
2_1_Muskogee,Boiler (Coal)
2_1_Nanticoke__OPG_,Boiler (Coal)
2_1_Nelson_Industrial_Steam,Boiler (Coal)
2_1_New_Madrid,Boiler (Coal)
2_1_Northeastern,Boiler (Coal)
2_1_Quindaro,Boiler (Coal)
2_1_Roxboro,Boiler (Coal)
2_1_Seminole__FL_,Boiler (Coal)
2_1_Shawnee,Boiler (Coal)
2_1_Sooner,Boiler (Coal)
2_1_St_Johns_River_Power_Park,Boiler (Coal)
2_1_Stanton_Energy_Center,Boiler (Coal)
2_1_TalenEnergy_Montour,Boiler (Coal)
2_1_Thomas_Hill,Boiler (Coal)
2_1_Thunder_Bay__OPG_,Boiler (Coal)
2_1_Tolk,Boiler (Coal)
2_1_W_H_Zimmer,Boiler (Coal)
2_1_Welsh,Boiler (Coal)
2_1_White_Bluff,Boiler (Coal)
2_1_Winyah,Boiler (Coal)
2_2_Cumberland__TN_,Boiler (Coal)
2_2_Dunkirk_Generating_Plant,Boiler (Coal)
2_2_Silver_Bay_Power,Boiler (Coal)
2_3_Silver_Bay_Power,Boiler (Coal)
2_A_B_Brown,Boiler (Coal)
2_A_Dan_E_Karn,Boiler (Coal)
2_AES_Petersburg,Boiler (Coal)
2_Antelope_Valley,Boiler (Coal)
2_B_Dan_E_Karn,Boiler (Coal)
2_Baldwin_Energy_Complex,Boiler (Coal)
2_Belews_Creek,Boiler (Coal)
2_Belle_River,Boiler (Coal)
2_Boundary_Dam,Boiler (Coal)
2_Bowen,Boiler (Coal)
2_Cardinal,Boiler (Coal)
2_Cayuga,Boiler (Coal)
2_Cayuga_Operating_Company,Boiler (Coal)
2_Charles_R_Lowman,Boiler (Coal)
2_Clay_Boswell,Boiler (Coal)
2_Clifty_Creek,Boiler (Coal)
2_Clover,Boiler (Coal)
2_Coal_Creek,Boiler (Coal)
