Generator,Node,Property,value,V1,V2,Band,V3,V4,Timeslice,Action,V5,Scenario,V6,Category
1_Blewett,304892_1BLEW1-3_4.8,Generation Participation Factor,0.555555556,,-,1,,,,=,,,,CPLE
1_Blewett,304893_1BLEW4-6_4,Generation Participation Factor,0.444444444,,-,1,,,,=,,,,CPLE
1_Blue Ridge,364423_1BLUERIDG H1_12.5,Generation Participation Factor,1,,-,1,,,,=,,,,TVAZ
1_Bolton Falls,109072_BOLTON FALLS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,VT
1_Bonny Eagle,100448_BONNY EAGLE_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
1_Boone Dam,364424_1BOONE H1_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Boone Dam,364425_1BOONE H2_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Boone Dam,364426_1BOONE H3_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Boott Hydropower,114052_BOOTT HYDRO_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,NEMASSBOST
1_Bridgewater,308079_1BRIDGEW_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
1_Brisay,180067_BRI_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Broken Bow Dam,505616_BBOW#1 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
1_Browns Falls,137159_BROWNS F_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,MHK VL
1_Brule,699102_BRUL HG_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
1_Brunswick Hydro,100471_BRUNSWICK_13.2,Generation Participation Factor,1,,-,1,,,,=,,,,NE-ME
1_Bryson (HYQU),180045_BRY_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Buford,383509_1BUF DAM 1+3_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
1_Bull Shoals,505462_BSH #1 1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SPA+
1_Bulls Bridge,122648_BULLS BRIDGE_1.15,Generation Participation Factor,1,,-,1,,,,=,,,,CT
1_Buzzard Roost,307037_1BUZZHYD_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,DUK
1_Byllesby,600053_BYLSBY9G_12.5,Generation Participation Factor,1,,-,1,,,,=,,,,MN-SE
1_C H Corn Hydroelectric Faci,402943_JACKSONBL1&2_4,Generation Participation Factor,0.571428571,,-,1,,,,=,,,,FLA
1_C H Corn Hydroelectric Faci,402944_JACKSONBL G3_4,Generation Participation Factor,0.428571429,,-,1,,,,=,,,,FLA
1_C W Tippy,256456_TIPPY      H_7.5,Generation Participation Factor,1,,-,1,,,,=,,,,CONS
1_Cabot,116579_CABOT HYDRO_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,WCMASS
1_Cadyville,131769_CADYVILE_46,Generation Participation Factor,1,,-,1,,,,=,,,,NORTH
1_Calderwood,375016_1CALDERWD H1_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Calderwood,375017_1CALDERWD H2_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Calderwood,375018_1CALDERWD H3_13.8,Generation Participation Factor,0.333333333,,-,1,,,,=,,,,TVAZ
1_Caldron Falls,698611_CAF G_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
1_Calm Lake,151731_CALM_LK_CGS_6.6,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
1_Cameron Falls,151732_CAMER_FLS_17_12,Generation Participation Factor,0.311355311,,-,1,,,,=,,,,ONTW
1_Cameron Falls,151733_CAMER_FLS234_12,Generation Participation Factor,0.308302808,,-,1,,,,=,,,,ONTW
1_Cameron Falls,151734_CAMER_FLS_56_12,Generation Participation Factor,0.38034188,,-,1,,,,=,,,,ONTW
1_Cameron Falls Nug,152745_AUX_SABLE_GS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
1_Cannelton Hydroelectric Pla,253625_10CAN_G1_6.9,Generation Participation Factor,1,,-,1,,,,=,,,,IN-S
1_Caribou Falls,151735_CARIBOU_FLS_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,ONTW
1_Carillon,180007_CAR_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,Quebec
1_Carmichael Falls,152750_CARMICH_FLS_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ONTE
1_Carpenter,337719_1CARPENTR U1_13.8,Generation Participation Factor,0.491525424,,-,1,,,,=,,,,EES-ARK
1_Carpenter,337720_1CARPENTR U2_13.8,Generation Participation Factor,0.508474576,,-,1,,,,=,,,,EES-ARK
1_Carters,383502_1CARTERSDAM1_13.8,Generation Participation Factor,1,,-,1,,,,=,,,,SOCO
1_Carver Falls,109049_CARVER FALLS_2.3,Generation Participation Factor,1,,-,1,,,,=,,,,CAPITL
1_Castle Rock,698330_CAR G1_4.16,Generation Participation Factor,1,,-,1,,,,=,,,,ATC
1_Cataract (MI),698708_CATARACT_2.4,Generation Participation Factor,1,,-,1,,,,=,,,,UPPC
