Node,Voltage
317404_3KYZAR 3_115,115
317405_3DUBLIN_PSS_115,115
317406_3PINE LVL_115,115
317407_3GRDNVL J_115,115
317408_3GRDNVLLE_115,115
317409_3UNION SP_PS_115,115
317410_3Y_115,115
317411_3PROVDNCE_115,115
317412_3OPELIKA_115,115
317414_3ROBA_115,115
317415_3HECTOR_115,115
317417_3THORTNRD_115,115
317418_3HARDAWAY_115,115
317419_3MITYLENE_115,115
317420_3ANDREWS_PS_115,115
317421_3ANDREWJT_115,115
317422_3BEE_HIVE_115,115
317423_3FARMVIL AEC_115,115
317424_3HOLT_GU_115,115
317425_3SPRNGVIL_115,115
317426_3OSWICHEE_115,115
317427_3MURPHYML_115,115
317428_3FT_MITCH_115,115
317429_3UNIONSPJ_115,115
317435_3HECTOR J_115,115
317437_3TRICKEM_JCT_115,115
317438_3TRICKEM_115,115
317440_3BEACH_EXP_115,115
317550_3COOSA RV_115,115
317551_3EASTBOGA_115,115
317552_3EMBRY_115,115
317553_3TALADEGA_115,115
317554_3PROVIDENCE_115,115
317600_3AECCLANT_115,115
317601_3AECCLNTP_115,115
317701_1VANN 1G_18,18
317702_1VANN 2G_18,18
317703_1VANN 3G_18,18
317711_1LOWMAN1G_13.8,13.8
317712_1LOWMAN2G_22,22
317713_1LOWMAN3G_22,22
317721_1MCNTSH1G_13.8,13.8
317722_1MCNTSH2G_13.2,13.2
317723_1MCNTSH3G_13.2,13.2
317731_1MCWLMS1G_4.16,4.16
317732_1MCWLMS2G_4.16,4.16
317733_1MCWLMS3G_13.8,13.8
317734_1MCWLMS4G_13.8,13.8
317754_1MCNTSH4G_13.2,13.2
317755_1MCNTSH5G_13.2,13.2
317756_1MCNTSH6G_13.2,13.2
317800_3STATESVILLE_115,115
317801_3KINGSTON_115,115
317802_3KINGSTON TP_115,115
317803_3RAY_115,115
317804_3HEWETT_115,115
317980_3SELMA_PS_115,115
317986_3AEC THOR_115,115
317987_3CECIL TP_115,115
317988_3ROSIN TP_115,115
317989_3ROSINTON_115,115
317990_3STEELWOD_115,115
317991_3NEWCHLDT_115,115
317992_3NEWCHLDB_115,115
317995_3HARDWYTP_115,115
317996_3FISHRVTP_115,115
317997_3INTERSTP_115,115
317998_3GRASMERE_115,115
317999_3SUMMERTP_115,115
384548_3ECI HALS_115,115
385407_3UCHEECK_115,115
386036_1AMEA CT1_13.8,13.8
386037_1AMEA CT2_13.8,13.8
386061_1CALHOUNCT1_18,18
386062_1CALHOUNCT2_18,18
386063_1CALHOUNCT3_18,18
386064_1CALHOUNCT4_18,18
386089_1HOGBAYOU 1_13.8,13.8
386090_1HOGBAYOU1A_18,18
386423_1LHILL 1ST_22,22
386424_1LHILL 1A_18,18
386425_1LHILL 1B_18,18
386426_1LHILL 1C_18,18
386427_1CENTAL 2ST_22,22
386428_1CENTAL 2A_18,18
386429_1CENTAL 2B_18,18
