Collection,Parent Name,Child Name,Parent Category,Child Category
Generator.Fuels,1_H_Chalk_Point_LLC,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_H_Conemaugh,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_H_Dickerson,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_H_Keystone,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_H_Sioux,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_H_South_Oak_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_H_Waukegan,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Hammond,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Hibbing,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Holcomb,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Homer_City_Generating_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Homer_City_Modular___Nug,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Hugo,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_Iatan,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Indian_River_Generating_Station,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_J_M_Stuart,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_James_H_Miller_Jr,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_John_E_Amos,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_John_W_Turk_Jr_Power_Plant,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_Joppa_Steam,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Kenneth_C_Coleman,Coal_ESC,Boiler (Coal),-
Generator.Fuels,1_Kincaid_Generation_LLC,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_Kline_Township_Cogen_Facility,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_Kyger_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_L_Belews_Creek,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_L_Chalk_Point_LLC,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_L_Conemaugh,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_L_Dickerson,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_L_G_G_Allen,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_L_Keystone,Coal_MA,Boiler (Coal),-
Generator.Fuels,1_L_Marshall__NC_,Coal_SA,Boiler (Coal),-
Generator.Fuels,1_L_Sioux,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_L_South_Oak_Creek,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_L_Waukegan,Coal_ENC,Boiler (Coal),-
Generator.Fuels,1_La_Cygne,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Labadie,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Lake_Charles_Plant,Coal_WSC,Boiler (Coal),-
Generator.Fuels,1_Laramie_River_Station,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Leland_Olds,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Lewis___Clark,Coal_WNC,Boiler (Coal),-
Generator.Fuels,1_Lingan,Coal_NE,Boiler (Coal),-
Generator.Fuels,1_Logan_Generating_Company_LP,Coal_MA,Boiler (Coal),-
