Simulation, Step, Columns, Integers, Rows, Non-Zeros, UC-Time, ST-Time
log_files/Model ( b_2024_EI_NYISO_19 ) Log (3).txt,6, 2575644, 6000, 183623, 737626,  00:00:06.9,  00:27:21.4. 
log_files/Model ( b_2024_EI_NYISO_19 ) Log (3).txt,7, 2575644, 6000, 183623, 737626,  00:00:06.4,  00:17:40.9. 
log_files/Model ( b_2024_EI_SPP_07 ) Log (3).txt,1, 2638420, 13632, 292520, 14257641,  00:00:18.0,  00:27:20.6. 
log_files/Model ( b_2024_EI_SPP_07 ) Log (3).txt,2, 2638420, 13632, 292520, 14257651,  00:00:27.6,  00:23:25.3. 
log_files/Model ( b_2024_EI_SPP_07 ) Log (3).txt,3, 2638420, 13632, 292520, 14257651,  00:00:26.0,  00:23:50.2. 
log_files/Model ( b_2024_EI_SPP_07 ) Log (3).txt,4, 2638420, 13632, 292520, 14257651,  00:00:36.6,  00:26:40.6. 
log_files/Model ( b_2024_EI_SPP_07 ) Log (3).txt,5, 2638420, 13632, 292520, 14257651,  00:00:31.8,  00:18:29.0. 
log_files/Model ( b_2024_EI_SPP_07 ) Log (3).txt,6, 2638420, 13632, 292520, 14257651,  00:00:36.5,  00:20:16.8. 
log_files/Model ( b_2024_EI_SPP_07 ) Log (3).txt,7, 2638420, 13632, 292520, 14257651,  00:00:27.5,  00:23:44.0. 
log_files/Model ( b_2024_EI_PJM_01 ) Log (2).txt,1, 2705788, 21024, 419674, 7298021,  00:00:43.0,  00:30:19.9. 
log_files/Model ( b_2024_EI_PJM_01 ) Log (2).txt,2, 2705788, 21024, 419674, 7298028,  00:00:41.6,  00:21:58.7. 
log_files/Model ( b_2024_EI_PJM_01 ) Log (2).txt,3, 2705788, 21024, 419674, 7298028,  00:00:55.8,  00:24:10.8. 
log_files/Model ( b_2024_EI_PJM_01 ) Log (2).txt,4, 2705788, 21024, 419674, 7298028,  00:00:44.8,  00:28:51.2. 
log_files/Model ( b_2024_EI_PJM_01 ) Log (2).txt,5, 2705788, 21024, 419674, 7298028,  00:00:49.5,  00:33:06.0. 
log_files/Model ( b_2024_EI_PJM_01 ) Log (2).txt,6, 2705788, 21024, 419674, 7298028,  00:01:15.6,  00:36:59.3. 
log_files/Model ( b_2024_EI_PJM_01 ) Log (2).txt,7, 2705788, 21024, 419674, 7298028,  00:01:08.3,  00:35:06.8. 
log_files/Model ( b_2024_EI_SPP_25 ) Log (3).txt,1, 2638420, 13632, 292520, 14257641,  00:00:23.6,  00:31:02.8. 
log_files/Model ( b_2024_EI_SPP_25 ) Log (3).txt,2, 2638420, 13632, 292520, 14257651,  00:00:40.0,  00:25:24.9. 
log_files/Model ( b_2024_EI_SPP_25 ) Log (3).txt,3, 2638420, 13632, 292520, 14257651,  00:00:33.1,  00:24:33.9. 
log_files/Model ( b_2024_EI_SPP_25 ) Log (3).txt,4, 2638420, 13632, 292520, 14257651,  00:00:32.3,  00:24:49.7. 
log_files/Model ( b_2024_EI_SPP_25 ) Log (3).txt,5, 2638420, 13632, 292520, 14257651,  00:00:39.8,  00:30:55.1. 
log_files/Model ( b_2024_EI_SPP_25 ) Log (3).txt,6, 2638420, 13632, 292520, 14257651,  00:00:40.0,  00:33:24.8. 
log_files/Model ( b_2024_EI_SPP_25 ) Log (3).txt,7, 2638420, 13632, 292520, 14257651,  00:00:29.5,  00:41:21.8. 
log_files/Model ( b_2024_EI_MISO_43 ) Log (3).txt,1, 2738212, 22320, 456872, 18750130,  00:00:58.9,  00:29:42.7. 
log_files/Model ( b_2024_EI_MISO_43 ) Log (3).txt,2, 2738212, 22320, 456872, 18750141,  00:01:46.0,  00:26:26.3. 
log_files/Model ( b_2024_EI_MISO_43 ) Log (3).txt,3, 2738212, 22320, 456872, 18750141,  00:01:11.9,  00:27:03.8. 
log_files/Model ( b_2024_EI_MISO_43 ) Log (3).txt,4, 2738212, 22320, 456872, 18750141,  00:01:09.3,  00:22:44.5. 
log_files/Model ( b_2024_EI_MISO_43 ) Log (3).txt,5, 2738212, 22320, 456872, 18750141,  00:01:20.9,  00:32:59.2. 
log_files/Model ( b_2024_EI_MISO_43 ) Log (3).txt,6, 2738212, 22320, 456872, 18750141,  00:02:01.4,  00:38:10.4. 
log_files/Model ( b_2024_EI_MISO_43 ) Log (3).txt,7, 2738212, 22320, 456872, 18750141,  00:01:46.1,  00:21:58.2. 
log_files/Model ( b_2024_EI_SPP_37 ) Log (3).txt,1, 2638420, 13632, 292520, 14257641,  00:00:20.1,  00:29:53.0. 
log_files/Model ( b_2024_EI_SPP_37 ) Log (3).txt,2, 2638420, 13632, 292520, 14257651,  00:00:42.8,  00:23:50.7. 
log_files/Model ( b_2024_EI_SPP_37 ) Log (3).txt,3, 2638420, 13632, 292520, 14257651,  00:00:36.9,  00:24:44.4. 
log_files/Model ( b_2024_EI_SPP_37 ) Log (3).txt,4, 2638420, 13632, 292520, 14257651,  00:01:03.5,  00:22:17.5. 
log_files/Model ( b_2024_EI_SPP_37 ) Log (3).txt,5, 2638420, 13632, 292520, 14257651,  00:00:30.7,  00:22:25.9. 
log_files/Model ( b_2024_EI_SPP_37 ) Log (3).txt,6, 2638420, 13632, 292520, 14257651,  00:00:30.3,  00:24:45.1. 
log_files/Model ( b_2024_EI_SPP_37 ) Log (3).txt,7, 2638420, 13632, 292520, 14257651,  00:00:25.0,  00:29:01.1. 
log_files/Model ( b_2024_EI_CAN_37 ) Log (3).txt,1, 2578260, 6264, 184607, 741213,  00:00:04.8,  00:27:46.3. 
log_files/Model ( b_2024_EI_CAN_37 ) Log (3).txt,2, 2578260, 6264, 184607, 741216,  00:00:05.2,  00:21:33.0. 
log_files/Model ( b_2024_EI_CAN_37 ) Log (3).txt,3, 2578260, 6264, 184607, 741216,  00:00:06.5,  00:20:44.4. 
log_files/Model ( b_2024_EI_CAN_37 ) Log (3).txt,4, 2578260, 6264, 184607, 741216,  00:00:04.6,  00:23:24.7. 
log_files/Model ( b_2024_EI_CAN_37 ) Log (3).txt,5, 2578260, 6264, 184607, 741216,  00:00:04.0,  00:23:41.1. 
log_files/Model ( b_2024_EI_CAN_37 ) Log (3).txt,6, 2578260, 6264, 184607, 741216,  00:00:04.2,  00:27:19.6. 
log_files/Model ( b_2024_EI_CAN_37 ) Log (3).txt,7, 2578260, 6264, 184607, 741216,  00:00:04.2,  00:30:30.6. 
log_files/Model ( b_2024_EI_ISONE_37 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:12.1,  00:27:53.8. 
log_files/Model ( b_2024_EI_ISONE_37 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:17.2,  00:21:30.4. 
log_files/Model ( b_2024_EI_ISONE_37 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:19.6,  00:23:10.4. 
log_files/Model ( b_2024_EI_ISONE_37 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:17.5,  00:22:33.5. 
log_files/Model ( b_2024_EI_ISONE_37 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:16.3,  00:25:39.3. 
log_files/Model ( b_2024_EI_ISONE_37 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:19.8,  00:25:35.1. 
log_files/Model ( b_2024_EI_ISONE_37 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:15.5,  00:18:28.0. 
log_files/Model ( b_2024_EI_CAN_01 ) Log (3).txt,1, 2578260, 6264, 184607, 741213,  00:00:05.3,  00:28:11.3. 
log_files/Model ( b_2024_EI_CAN_01 ) Log (3).txt,2, 2578260, 6264, 184607, 741216,  00:00:04.9,  00:24:19.7. 
log_files/Model ( b_2024_EI_CAN_01 ) Log (3).txt,3, 2578260, 6264, 184607, 741216,  00:12:42.9,  00:37:01.8. 
log_files/Model ( b_2024_EI_CAN_01 ) Log (3).txt,4, 2578260, 6264, 184607, 741216,  00:00:04.4,  00:19:47.8. 
log_files/Model ( b_2024_EI_CAN_01 ) Log (3).txt,5, 2578260, 6264, 184607, 741216,  00:00:05.0,  00:21:44.4. 
log_files/Model ( b_2024_EI_CAN_01 ) Log (3).txt,6, 2578260, 6264, 184607, 741216,  00:00:05.2,  00:24:23.2. 
log_files/Model ( b_2024_EI_CAN_01 ) Log (3).txt,7, 2578260, 6264, 184607, 741216,  00:00:04.7,  00:26:09.6. 
log_files/Model ( b_2024_EI_ISONE_43 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:11.8,  00:28:05.5. 
log_files/Model ( b_2024_EI_ISONE_43 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:17.8,  00:21:40.2. 
log_files/Model ( b_2024_EI_ISONE_43 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:14.7,  00:24:11.6. 
log_files/Model ( b_2024_EI_ISONE_43 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:17.8,  00:19:26.7. 
log_files/Model ( b_2024_EI_ISONE_43 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:16.7,  00:19:23.2. 
log_files/Model ( b_2024_EI_ISONE_43 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:13.9,  00:20:10.5. 
log_files/Model ( b_2024_EI_ISONE_43 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:16.1,  00:22:21.0. 
log_files/Model ( b_2024_EI_ISONE_31 ) Log (4).txt,1, 2585752, 6576, 196098, 10449930,  00:00:11.0,  00:30:05.0. 
log_files/Model ( b_2024_EI_ISONE_31 ) Log (4).txt,2, 2585752, 6576, 196098, 10449939,  00:00:16.1,  00:24:16.7. 
log_files/Model ( b_2024_EI_ISONE_31 ) Log (4).txt,3, 2585752, 6576, 196098, 10449939,  00:00:19.9,  00:24:56.2. 
log_files/Model ( b_2024_EI_ISONE_31 ) Log (4).txt,4, 2585752, 6576, 196098, 10449939,  00:00:14.9,  00:19:18.0. 
log_files/Model ( b_2024_EI_ISONE_31 ) Log (4).txt,5, 2585752, 6576, 196098, 10449939,  00:00:15.2,  00:18:44.4. 
log_files/Model ( b_2024_EI_ISONE_31 ) Log (4).txt,6, 2585752, 6576, 196098, 10449939,  00:00:15.2,  00:21:24.3. 
log_files/Model ( b_2024_EI_ISONE_31 ) Log (4).txt,7, 2585752, 6576, 196098, 10449939,  00:00:16.3,  00:24:05.7. 
log_files/Model ( b_2024_EI_CAN_43 ) Log (4).txt,1, 2578260, 6264, 184607, 741213,  00:00:06.8,  00:32:47.7. 
log_files/Model ( b_2024_EI_CAN_43 ) Log (4).txt,2, 2578260, 6264, 184607, 741216,  00:00:05.4,  00:21:50.4. 
log_files/Model ( b_2024_EI_CAN_43 ) Log (4).txt,3, 2578260, 6264, 184607, 741216,  00:00:07.0,  00:24:08.1. 
log_files/Model ( b_2024_EI_CAN_43 ) Log (4).txt,4, 2578260, 6264, 184607, 741216,  00:00:05.2,  00:24:21.2. 
log_files/Model ( b_2024_EI_CAN_43 ) Log (4).txt,5, 2578260, 6264, 184607, 741216,  00:00:05.5,  00:31:55.9. 
log_files/Model ( b_2024_EI_CAN_43 ) Log (4).txt,6, 2578260, 6264, 184607, 741216,  00:00:04.4,  00:34:42.6. 
log_files/Model ( b_2024_EI_CAN_43 ) Log (4).txt,7, 2578260, 6264, 184607, 741216,  00:00:04.7,  00:37:26.6. 
log_files/Model ( b_2024_EI_SPP_13 ) Log (3).txt,1, 2638420, 13632, 292520, 14257641,  00:00:26.5,  00:29:46.3. 
log_files/Model ( b_2024_EI_SPP_13 ) Log (3).txt,2, 2638420, 13632, 292520, 14257651,  00:00:42.4,  00:24:47.9. 
log_files/Model ( b_2024_EI_SPP_13 ) Log (3).txt,3, 2638420, 13632, 292520, 14257651,  00:00:45.2,  00:29:58.3. 
log_files/Model ( b_2024_EI_SPP_13 ) Log (3).txt,4, 2638420, 13632, 292520, 14257651,  00:00:36.2,  00:30:14.1. 
log_files/Model ( b_2024_EI_SPP_13 ) Log (3).txt,5, 2638420, 13632, 292520, 14257651,  00:00:34.6,  00:21:01.5. 
log_files/Model ( b_2024_EI_SPP_13 ) Log (3).txt,6, 2638420, 13632, 292520, 14257651,  00:00:43.0,  00:22:26.3. 
